;split name;Since 2015 STD 2 pearson_corr;Since 2015 STD 2 rmse;Since 2015 STD 2 nrmse;Val pearson_corr;Val rmse;Val nrmse;Test pearson_corr;Test rmse;Test nrmse;run;name;;;;;;;;;;;;;;;;;;;;;
22;Random Split (Cross Val) Urban;0.4526897218339615;0.1557489843309098;0.9037653779117736;0.4860054095610985;0.1679828785228041;0.8768466378601362;0.4865718342563547;0.1678157902460218;0.875974460915612;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg19;wimagenet;unfl100;dFalse;lr0.0001;momentum0.9;optimizerSGD;horizontal;flip;;m;vgg19;hFalse;wFalse1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Random Split (Cross Val) Urban;0.2819170033685658;0.1686401198457014;0.9678631238982092;0.343231724239031;0.1832974256983486;0.947470794409547;0.3320725085425648;0.184053011861981;0.9513764456753742;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg19;wimagenet;unfl100;dFalse;lr0.001;adjustlr;momentum0.99;optimizerSGD;horizontal;flip;;m;vgg19;hFalse;wFalse1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Random Split (Cross Val) Urban;0.3938312179832341;0.1620005845140421;0.9297573551569864;0.4316159632164695;0.1745632634230721;0.9023236046007996;0.4421833999377245;0.1735826055908859;0.8972545500204342;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg19;wimagenet;unfl100;dFalse;lr0.001;adjustlr;momentum0.9;optimizerSGD;horizontal;flip;;m;vgg19;hFalse;wFalse1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Random Split (Cross Val) Urban;0.3187036502123407;0.1682557524299285;0.9656571538829184;0.3008697923448108;0.1861374606013876;0.9621510340009176;0.3362234031483771;0.1833326057747717;0.94765264145311;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg19;wimagenet;unfl100;dFalse;lr0.001;momentum0.99;optimizerSGD;horizontal;flip;;m;vgg19;hFalse;wFalse1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Random Split (Cross Val) Urban;0.4479676381150779;0.1595599219931301;0.9157498505724756;0.4838233842743598;0.1700467658437943;0.8789776708917826;0.4811695048946791;0.1704665165209098;0.8811473768000098;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg19;wimagenet;unfl100;dFalse;lr0.001;momentum0.9;optimizerSGD;horizontal;flip;;m;vgg19;hFalse;wFalse2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
